trial,generation,bestSize,runtime,profit,distance,structureDistance,plan,init,buildProb,runtimeKill,scenario,averageSize
0,25,20,509279,5.121544122206403E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,35.0
0,26,20,407104,5.123332578864005E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,27,20,372268,5.123332578864005E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,33.0
0,28,20,288602,5.123332578864005E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,29,20,325249,5.123332578864005E7,-1.0,-1.0,long,mutator,0.9,1.0,requestsfourserv,34.0
0,0,4,5967,2.4469622400000002E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,9.0
0,1,7,966427,2.735211587000001E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,10.0
0,2,12,2691,4.0439654400000006E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,11.0
0,3,9,2230,4.176900840000002E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,11.0
0,4,9,2077,4.176900840000002E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,13.0
0,5,20,7582,4.442771640000002E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,14.0
0,6,20,976746,4.442771640000002E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,15.0
0,7,15,4562,4.442771640000002E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,17.0
0,8,20,5590,4.711341750240003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,19.0
0,9,19,11976,4.709002440000003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,20.0
0,10,16,16505,4.8946142868279144E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,20.0
0,11,16,19335,4.8946142868279144E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,22.0
0,12,16,90471,4.8946142868279144E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,25.0
0,13,16,78710,4.906999032720003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,28.0
0,14,16,88948,4.906999032720003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,30.0
0,15,19,110971,4.9297656069211446E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,31.0
0,16,20,118950,4.990085316944271E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,30.0
0,17,19,82783,5.056214650440003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,29.0
0,18,20,99579,5.089505640032002E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,29.0
0,19,20,122382,5.1154734404400036E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,31.0
0,20,20,129920,5.1154734404400036E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,31.0
0,21,20,330177,5.1154734404400036E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,32.0
0,22,20,195256,5.1154734404400036E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,32.0
0,23,20,231540,5.125420503528003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,32.0
0,24,20,320059,5.133979882488003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,32.0
0,25,20,334498,5.155360369104003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,32.0
0,26,20,340844,5.155360369104003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,32.0
0,27,20,356600,5.155360369104003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,32.0
0,28,20,378580,5.155360369104003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,33.0
0,29,20,412339,5.156040285840003E7,-1.0,-1.0,scratch,scratch,0.0,1.0,requestsfourserv,33.0
1,0,12,281,3.853301884894561E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,12.0
1,1,12,179,3.853301884894561E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,18.0
1,2,12,98,3.853301884894561E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,22.0
1,3,10,147,4.046044656000001E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,24.0
1,4,10,209,4.046044656000001E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,27.0
1,5,10,253,4.255835899802881E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,30.0
1,6,10,332,4.255835899802881E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,32.0
1,7,10,459,4.255835899802881E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,34.0
1,8,10,662,4.255835899802881E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,35.0
1,9,16,816,4.338239988879524E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,38.0
1,10,16,1216,4.338239988879524E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,39.0
1,11,16,1475,4.338239988879524E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,40.0
1,12,16,1907,4.338239988879524E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,37.0
1,13,17,1898,4.3105644145145E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,37.0
1,14,15,2175,4.374712917120002E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,35.0
1,15,17,2377,4.398226428432002E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,32.0
1,16,17,2810,4.398226428432002E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,30.0
1,17,15,2884,4.641592029168003E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,28.0
1,18,15,2815,4.641592029168003E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,27.0
1,19,20,3508,4.6888827182400025E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,27.0
1,20,20,3909,4.6888827182400025E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,28.0
1,21,20,5033,4.869981588879526E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,28.0
1,22,20,6667,4.869981588879526E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,29.0
1,23,20,7462,4.869981588879526E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,29.0
1,24,20,8532,4.869981588879526E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,29.0
1,25,17,10300,4.828942179408002E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,29.0
1,26,20,11335,4.8289421794080034E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,30.0
1,27,19,12051,4.846826745984002E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,30.0
1,28,20,13880,4.968364437387339E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,31.0
1,29,20,15050,4.968364437387339E7,-1.0,-1.0,long,trimmer,0.0,0.5,requestsfourserv,31.0
1,0,4,123,2.6593032000000007E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,12.0
1,1,6,39,2.6593032000000007E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,11.0
1,2,9,42,3.2730817854940508E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,14.0
1,3,13,64,3.5810129426865E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,16.0
1,4,8,100,3.6977998800000004E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,21.0
1,5,14,165,3.9201181092240006E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,26.0
1,6,10,240,4.098603191730578E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,33.0
1,7,10,321,4.098603191730578E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,36.0
1,8,10,556,4.098603191730578E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,37.0
1,9,12,688,4.310556240000002E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,41.0
1,10,12,953,4.310556240000002E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,43.0
1,11,12,1231,4.310556240000002E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,43.0
1,12,12,1326,4.310556240000002E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,44.0
1,13,20,1535,4.3307507872789904E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,43.0
1,14,19,1729,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,43.0
1,15,19,2096,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,44.0
1,16,19,2503,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,43.0
1,17,19,2797,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,44.0
1,18,19,3250,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,45.0
1,19,19,3166,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,42.0
1,20,19,3695,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,43.0
1,21,19,3664,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,43.0
1,22,19,4628,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,44.0
1,23,19,5086,4.407876689085001E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,47.0
1,24,19,5962,4.376429348105879E7,-1.0,-1.0,long,trimmer,0.25,0.5,requestsfourserv,53.0
